#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
5900;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;;;"";;;COM3;;
5901;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM3;;
5902;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM3;;
5903;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 23 00 00 00 00 00 00 00 00 00 00 00 ;"........#...........";20;;COM3;;
5904;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;;;"";;;COM3;;
5905;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM3;;
5906;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM3;;
5907;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 24 00 00 00 00 00 00 00 00 00 00 00 ;"........$...........";20;;COM3;;
5908;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;;;"";;;COM3;;
5909;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM3;;
5910;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM3;;
5911;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 25 00 00 00 00 00 00 00 00 00 00 00 ;"........%...........";20;;COM3;;
5912;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;;;"";;;COM3;;
5913;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM3;;
5914;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM3;;
5915;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 26 00 00 00 00 00 00 00 00 00 00 00 ;"........&...........";20;;COM3;;
5916;27/08/2026 13:43:06;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;;;"";;;COM3;;
